2016/4/18	2.0409
2016/4/19	2.053
2016/4/20	1.9672
2016/4/21	1.9519
2016/4/22	1.9623
2016/4/25	1.9534
2016/4/26	1.9737
2016/4/27	1.9696
2016/4/28	1.9623
2016/4/29	1.9616
2016/5/3	2.0173
2016/5/4	2.022
2016/5/5	2.0336
2016/5/6	1.9617
2016/5/9	1.894
2016/5/10	1.8957
2016/5/11	1.8924
2016/5/12	1.8928
2016/5/13	1.8875
2016/5/16	1.916
2016/5/17	1.9163
2016/5/18	1.8633
2016/5/19	1.8722
2016/5/20	1.893
2016/5/23	1.919
2016/5/24	1.9011
2016/5/25	1.8938
2016/5/26	1.8988
2016/5/27	1.9018
2016/5/30	1.8987
2016/5/31	1.971
2016/6/1	1.9808
2016/6/2	1.9907
2016/6/3	2.0032
2016/6/6	2.0059
2016/6/7	2.0026
2016/6/8	2.0016
2016/6/13	1.9229
2016/6/14	1.9271
2016/6/15	1.9806
2016/6/16	1.9735
2016/6/17	1.9876
2016/6/20	1.9938
2016/6/21	1.98
2016/6/22	2.0084
2016/6/23	2.0046
2016/6/24	1.9848
2016/6/27	2.0298
2016/6/28	2.0584
2016/6/29	2.0683
2016/6/30	2.0748
2016/7/1	2.0752
2016/7/4	2.1178
2016/7/5	2.1304
2016/7/6	2.1411
2016/7/7	2.1463
2016/7/8	2.1419
2016/7/11	2.1416
2016/7/12	2.1701
2016/7/13	2.1915
2016/7/14	2.1992
2016/7/15	2.1988
2016/7/18	2.1937
2016/7/19	2.1968
2016/7/20	2.1967
2016/7/21	2.2097
2016/7/22	2.1948
2016/7/25	2.2002
2016/7/26	2.2221
2016/7/27	2.1436
2016/7/28	2.1481
2016/7/29	2.1359
2016/8/1	2.1121
2016/8/2	2.1325
2016/8/3	2.1435
2016/8/4	2.1551
2016/8/5	2.1494
2016/8/8	2.1775
2016/8/9	2.1929
2016/8/10	2.1874
2016/8/11	2.1556
2016/8/12	2.1819
2016/8/15	2.2287
2016/8/16	2.241
2016/8/17	2.2446
2016/8/18	2.2537
2016/8/19	2.2655
2016/8/22	2.2412
2016/8/23	2.2447
2016/8/24	2.248
2016/8/25	2.2317
2016/8/26	2.2432
2016/8/29	2.2542
2016/8/30	2.254
2016/8/31	2.2582
2016/9/1	2.2427
2016/9/2	2.2361
2016/9/5	2.2431
2016/9/6	2.2798
2016/9/7	2.2817
2016/9/8	2.2894
2016/9/9	2.2775
2016/9/12	2.22
2016/9/13	2.2317
2016/9/14	2.2198
2016/9/19	2.2437
2016/9/20	2.2442
2016/9/21	2.2488
2016/9/22	2.2589
2016/9/23	2.2548
2016/9/26	2.2141
2016/9/27	2.2302
2016/9/28	2.2295
2016/9/29	2.2362
2016/9/30	2.2449
2016/10/10	2.2823
2016/10/11	2.2942
2016/10/12	2.2972
2016/10/13	2.3005
2016/10/14	2.3038
2016/10/17	2.289
2016/10/18	2.3228
2016/10/19	2.3168
2016/10/20	2.323
2016/10/21	2.3166
2016/10/24	2.3398
2016/10/25	2.3488
2016/10/26	2.3407
2016/10/27	2.3378
2016/10/28	2.3189
2016/10/31	2.3196
2016/11/1	2.3351
2016/11/2	2.3157
2016/11/3	2.3285
2016/11/4	2.3246
2016/11/7	2.3274
2016/11/8	2.3391
2016/11/9	2.3238
2016/11/10	2.3531
2016/11/11	2.3705
2016/11/14	2.3806
2016/11/15	2.3905
2016/11/16	2.3932
2016/11/17	2.3921
2016/11/18	2.3837
2016/11/21	2.3882
2016/11/22	2.407
2016/11/23	2.4008
